Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
c23e8780-6030-37ec-8d02-8c6e3def10ac,ef58ea08-d883-3957-8300-150554edc8fb,Reginald96 Bruen238,M,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,1214
3aade15e-5333-3c4e-86c5-aab3511bc8e8,69176529-fd1f-3b3f-abce-a0a3626769eb,Lesley194 Fisher429,M,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,2877
af6e425b-c7d0-313d-af54-ec0dcab69e3f,5e765f2b-e908-3888-9fc7-df2cb87beb58,Ludivina884 Steuber698,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,2365
b64820cc-13b4-3185-946b-a208b6f3b43a,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Esperanza675 Escobedo608,F,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,976
581cc2bd-9005-3008-8abb-299f40d36ca5,e002090d-4e92-300e-b41e-7d1f21dee4c6,Wilfredo622 Medhurst46,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,2706
a5889e7a-5743-3fb1-9695-fe6f861ba1c1,ef6ab57c-ed94-3dbe-9861-812d515918b3,Terrell212 Fadel536,F,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,2071
dd775926-ae15-31ec-985e-a4a7a56a24f2,49318f80-bd8b-3fc7-a096-ac43088b0c12,Almeta56 Carter549,F,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,1533
c01b8276-f9a8-3c4d-9119-dfc9d62cc0ce,fbf6180e-b800-3ebe-b91d-93d0288c400e,Jodie811 Wintheiser220,F,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,1754
b7ccd823-5152-3c05-903b-7058f518495e,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Margaret865 Herzog843,F,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,576
998a448e-0cc2-35fb-a3fc-cba0a899c928,4bdaa4c2-c664-3089-aee2-7137abbad27f,Nicolás801 Jiménez568,M,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,667
701f23b0-fe1c-31b9-acf6-3bbe2b173716,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Cecille691 Halvorson124,F,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,1692
da3170c9-722b-3ec4-b0a7-c8047575c63a,5d4b9df1-93ae-3bc9-b680-03249990e558,Vicente970 Kilback373,M,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,1768
5b252616-6725-3267-8f1b-f61c37b1f31e,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Jerold208 Spencer878,M,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,1288
e17f030a-562c-3361-a3e1-376aaae2ba38,5844ad77-f653-3c2b-b7dd-e97576ab3b03,Franklin857 Bayer639,M,GENERAL PRACTICE,40 WRIGHT STREET,PALMER,MA,01069,42.187794,-72.30846899999997,840
09486c89-6c53-3650-af60-9662cff4f733,08bcda9c-f8c8-3244-82d4-fc306a7a55d3,Leslie90 Crona259,F,GENERAL PRACTICE,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.33196,-71.020173,718
e9b52e0e-d463-3d69-bfce-281c35d6d850,37c0de84-bcaf-3624-82bf-a89b2ac441b8,Dinah304 Schaefer657,F,GENERAL PRACTICE,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,1218
b0c5743a-4f9a-33b3-bab4-6a474fcf9ffd,4861d01f-019c-3dac-a153-8334e50919f9,Ellan282 Jacobi462,F,GENERAL PRACTICE,81 HIGHLAND AVENUE,SALEM,MA,01970,42.50128,-70.897502,3954
